pl_name,hostname,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,st_teff,st_lum,st_rad,st_mass,st_age
11 Com b,11 Com,12.2,4914.898485849997,14.900000000000004,0.238,581.332,31.256544484965783,323.2099999999999,1.178,4874.0,1.97823,13.760000000000002,2.09,1.1804999999999999
11 UMi b,11 UMi,12.3,4684.814200000002,13.799999999999997,0.08,499.0,16.28496922345855,516.21997,1.53,4213.0,2.42951,29.79,2.7799999999999994,1.56
14 And b,14 And,13.1,1131.1513005100005,2.76,0.0,621.8,39.29982406939498,186.76,0.7749999999999999,4888.0,1.83992,11.550000000000002,1.7800000000000002,4.5
14 Her b,14 Her,12.6,2559.4721615699996,7.029999999999999,0.373,277.86,2.53741043308684,1765.0388999999996,2.774,5338.0,-0.15273,0.9300000000000002,0.91,3.9
16 Cyg B b,16 Cyg B,13.5,565.7374000000002,1.26,0.68,513.8,63.77931033924582,798.5,1.6599999999999997,5750.0,0.09729,1.13,1.08,7.4
17 Sco b,17 Sco,12.9,1373.0187182400005,3.5099999999999993,0.06,475.4,24.61791172019271,578.3799999999999,1.45,4157.0,2.25435,25.920000000000005,1.22,5.13
18 Del b,18 Del,12.5,2926.2461432500004,8.23,0.024,584.8,31.256544484965783,982.85,2.4760000000000004,4980.0,1.63367,8.8,2.1,1.1
1RXS J160929.1-210524 b,1RXS J160929.1-210524,18.647,2999.9999999999995,2.54,0.402559,1700.0,313.8227323442796,11.122139999999998,330.0,4060.0,-0.37,1.3131600000000003,0.8500000000000001,0.005
24 Boo b,24 Boo,13.9,280.64248337999993,0.574,0.032,1044.3,257.28094357627276,30.329999999999995,0.194,4816.0,1.87691,12.19,1.05,6.92
24 Sex b,24 Sex,13.4,632.4600000000003,1.44,0.09,606.2,36.141030506135436,452.8000000000001,1.333,5098.0,1.164,4.9,1.54,2.7
24 Sex c,24 Sex,13.9,273.31999999999994,0.559,0.29,623.266,29.5683276181823,882.9999999999998,2.08,5098.0,1.164,4.9,1.54,2.7
2M0437 b,2MASS J04372171+2651014,13.0,1271.3136280000003,3.18,0.436799,1450.0,335.2317255235809,11.122139999999998,118.00000000000003,3100.0,-1.16368,0.8400000000000001,0.16999999999999998,0.0025
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,12.3,4131.789999999999,12.2,0.40854,1448.6,367.55298177911834,11.122139999999998,84.00000000000001,5549.0,-0.07632,0.95138,0.19,0.03
2MASS J01225093-2439505 b,2MASS J01225093-2439505,11.209,7786.500000000001,30.4,0.50954,1600.0,710.6759384941918,11.122139999999998,52.00000000000001,3530.0,-1.72,0.36645,0.4,0.12
2MASS J02192210-3925225 b,2MASS J02192210-3925225,16.14096,4417.837000000001,5.77,0.531839,1649.0,458.39340432648413,11.122139999999998,155.99999999999994,3064.0,-2.23,0.281,0.108,0.035
2MASS J0249-0557 c,2MASS J0249-0557 A,12.4,3686.8095211999985,10.600000000000001,0.54284,1812.3,221.88592544024547,11.122139999999998,1949.9999999999993,2859.0,-2.59,0.31595899999999993,0.046,0.022
2MASS J03590986+2009361 b,2MASS J03590986+2009361,12.2,5720.911326000004,17.300000000000004,0.52904,2369.0,543.4118937837462,11.122139999999998,572.0000000000002,2943.0,-2.24602,0.289776,0.264996,0.027649999999999997
2MASS J04414489+2301513 b,2MASS J04414489+2301513,12.6,2383.6,6.550000000000001,0.4875,620.177,27.93206934586094,11.122139999999998,14.999999999999998,2936.0,-2.44363,0.231916,0.019,0.001
2MASS J11011926-7732383 b,2MASS J11011926-7732383,11.9,8899.195395999997,29.000000000000004,0.4399400000000001,2677.0,3196.913019799837,11.122139999999998,266.00000000000006,5549.0,-0.07632,0.95138,0.94,0.1102
2MASS J11550485-7919108 b,2MASS J11550485-7919108,12.1,6356.568139999998,19.7,0.52904,2506.0,635.4323286774622,11.122139999999998,587.0,3021.0,-1.56774,0.600455,0.58846,0.10075
2MASS J12073346-3932539 b,2MASS J12073346-3932539,12.9,1589.15,4.07,0.5215,1250.0,94.23216051547769,11.122139999999998,55.00000000000002,2825.0,-2.56086,0.21887,0.024,0.008
2MASS J19383260+4603591 b,2MASS J19383260+4603591,13.4,603.8770000000001,1.3799999999999997,0.33,387.26,6.266381078033655,405.99999999999983,0.9200000000000002,29564.0,1.45,0.203,0.48,6.2916
2MASS J21252752-8138278 b,2MASS J21252752-8138278,12.4,3813.940883999999,11.0,0.47576,1616.0,458.39340432648413,11.122139999999998,7492.999999999995,3592.0,-1.16815,0.6728320000000001,0.643977,0.39575000000000005
2MASS J22362452+4751425 b,2MASS J22362452+4751425,12.3,3972.8749999999995,11.700000000000003,0.48904,1625.4,458.39340432648413,11.122139999999998,229.99999999999994,4045.0,-1.02143,0.641152,0.6000000000000001,0.12
2MASS J22501512+2325342 b,2MASS J22501512+2325342,11.9,9534.852210000003,31.100000000000005,0.52904,1600.0,710.6759384941918,11.122139999999998,517.9999999999999,3352.0,-1.66196,0.437589,0.433173,0.15
4 UMa b,4 UMa,12.6,2511.480072110001,6.900000000000002,0.453,404.6,14.382249089623139,270.27,0.877,4415.0,2.06236,18.109999999999996,1.234,4.604
47 UMa b,47 UMa,13.2,804.08,1.92,0.032,257.90999999999997,0.627103069853579,1078.0,2.1,5872.0,0.1978,1.21334,1.06,6.48
47 UMa c,47 UMa,14.2,171.621,0.329,0.098,227.75,0.6653179133554648,2390.9999999999995,3.6000000000000005,5872.0,0.1978,1.21334,1.06,6.48
47 UMa d,47 UMa,13.5,521.2199999999999,1.16,0.16,336.71,3.014860251742273,14002.000000000007,11.599999999999998,5872.0,0.1978,1.21334,1.06,6.48
51 Eri b,51 Eri,2.8395539349999996,3464.329636299997,2.56,0.57,807.0,65.39419986732663,9099.999999999995,10.399999999999999,7422.0,0.7574,1.45,1.75,0.0232
51 Peg b,51 Peg,14.3,146.2018,0.275,0.013,1252.42,439.0683943094727,4.230785,0.0527,5758.0,0.13631,1.17561,1.03,10.0
55 Cnc B b,55 Cnc B,1.69,3.5000000000000004,3.9800000000000004,0.0,422.68,8.410473097276553,6.7994,0.044,3286.0,-2.10811,0.274,0.26,10.0
55 Cnc B c,55 Cnc B,2.16,5.299999999999999,2.89,0.0,305.03000000000003,1.6679589675996542,33.74699999999999,0.13,3286.0,-2.10811,0.274,0.26,10.0
55 Cnc b,55 Cnc,13.9,263.97850000000005,0.54,0.0029,700.0,68.1238452514723,14.651552000000002,0.118,5198.0,-0.19695,0.9799999999999999,1.015,10.0
55 Cnc c,55 Cnc,8.51,54.47380000000001,0.486,0.088,517.363,8.00293123690389,44.393600000000006,0.247,5198.0,-0.19695,0.9799999999999999,1.015,10.0
55 Cnc d,55 Cnc,13.0,1232.4930000000004,3.08,0.0913,499.2,41.29965619316017,4799.000000000001,5.6,5198.0,-0.19695,0.9799999999999999,1.015,10.0
55 Cnc e,55 Cnc,1.875,7.990000000000001,6.660000000000002,0.05,1958.0,2657.8322000000007,0.7365474000000001,0.01544,5172.0,-0.19695,0.9430000000000001,0.905,5.5
55 Cnc f,55 Cnc,7.59,44.812,0.563,0.063,336.2,3.0036114364563176,260.57999999999987,0.8019999999999999,5198.0,-0.19695,0.9799999999999999,1.015,10.0
6 Lyn b,6 Lyn,13.4,597.8352335700002,1.37,0.042,403.73,5.21412504280787,919.8600000000004,2.0280000000000005,4941.0,1.1186,4.94,1.32,2.353
61 Vir b,61 Vir,2.11,5.1,2.98,0.12,1090.0790000000002,292.37452736594616,4.215,0.050201,5577.0,-0.095,0.963,0.942,8.96
61 Vir c,61 Vir,4.46,18.199999999999996,1.13,0.14,533.8399999999999,15.232287836456816,38.021,0.21749999999999997,5577.0,-0.095,0.963,0.942,8.96
61 Vir d,61 Vir,5.11,22.900000000000006,0.9430000000000001,0.35,362.2,4.817373181603491,123.01000000000003,0.476,5577.0,-0.095,0.963,0.942,8.96
7 CMa b,7 CMa,13.4,587.9855000000002,1.34,0.06,354.12,4.076535687006761,735.0999999999998,1.758,4826.0,1.06258,4.869999999999999,1.34,4.3
7 CMa c,7 CMa,13.9,276.5120999999999,0.5659999999999998,0.08,366.62,7.822038408484973,995.9999999999999,2.1529999999999996,4826.0,1.06258,4.869999999999999,1.34,4.3
70 Vir b,70 Vir,12.6,2380.4499999999994,6.540000000000002,0.3988,425.466,24.501820476638294,116.688,0.481,5495.0,0.4513,1.89,1.09,7.77
75 Cet b,75 Cet,13.3,787.8966209500002,1.8399999999999999,0.093,665.5,20.54315483695788,696.6200000000001,1.912,4809.0,1.7145,10.379999999999999,1.92,1.6099999999999999
75 Cet c,75 Cet,13.9,289.8595071799999,0.593,0.023,357.1,4.34026085951327,2051.620000000001,3.9290000000000003,4809.0,1.7145,10.379999999999999,1.92,3.3549999999999995
8 UMi b,8 UMi,13.5,524.4168715500002,1.17,0.062,599.571,34.098063077465845,93.31,0.4620000000000001,4847.0,1.72346,10.73,1.5100000000000002,1.7
81 Cet b,81 Cet,13.1,1051.05854195,2.5699999999999994,0.037,223.88000000000002,0.35295832533431093,1005.5699999999997,2.104,4734.0,1.76027,11.209999999999999,1.23,6.151300000000001
91 Aqr b,91 Aqr,13.1,1016.9999999999999,2.49,0.027,606.2,34.2160179598346,181.40000000000006,0.7,4665.0,1.69239,11.0,1.4,3.56
AB Aur b,AB Aur,12.5,2860.455663,8.05,0.4,1252.4,193.2237160381736,11.122139999999998,93.9,9770.0,1.77085,2.9588699999999997,2.4,0.003
AB Pic b,AB Pic,12.3,4290.5,12.7,0.45044000000000006,595.144,39.2795682672505,11.122139999999998,260.00000000000006,5285.0,-0.22631,0.9993939999999999,0.9,0.03
AF Lep b,AF Lep,13.0,1147.36054927,2.8699999999999997,0.015,1400.0,149.77195169197347,8904.999999999993,8.996000000000002,6140.0,0.29,1.25,1.218,0.024
AT2021ueyL b,AT2021ueyL,13.6,425.89006538,0.9300000000000002,0.36893,333.4,3.465690430280041,4168.69,4.01,3680.0,-0.07632,0.95138,0.49,6.5
AU Mic b,AU Mic,3.95677019,20.12,1.32,0.00577,600.0,21.200000000000003,8.463080000000001,0.0649,3678.0,-1.0381,0.744,0.51,0.0201
AU Mic c,AU Mic,2.52202066,9.6,1.22,0.00338,459.0,7.300000000000001,18.85969,0.1108,3678.0,-1.0381,0.744,0.51,0.0201
AU Mic d,AU Mic,1.02,1.053,5.449999999999999,0.00305,807.4,85.88137740220623,12.735960000000002,0.102,3678.0,-1.0381,0.744,0.51,0.0201
AU Mic e,AU Mic,4.87,21.10000000000001,1.0,0.1557,480.01000000000005,10.510345376860812,33.11000000000001,0.102,3665.0,-0.99,0.8200000000000001,0.6000000000000001,0.0185
BD+03 2562 b,BD+03 2562,12.7,2034.1119999999996,5.46,0.2,588.7,31.384321052486218,481.90000000000003,1.3,4095.0,2.7,32.35000000000001,1.14,5.2
BD+05 4868 A b,BD+05 4868 A,2.8395539349999996,6.2,2.56,0.12410000000000002,1820.0,1077.3503561826874,1.271869,0.0208,4596.0,-0.7167,0.69,0.7,11.1
BD+14 4559 b,BD+14 4559,13.8,330.5432,0.691,0.29,186.19,0.2564981605568436,268.9399999999999,0.78,4864.0,-0.32,0.86,0.49,5.561
BD+15 2375 b,BD+15 2375,13.8,337.21763,0.705,0.001,601.71,32.25200311628521,153.21999999999997,0.576,4649.0,1.57,8.95,1.08,7.41
BD+15 2940 b,BD+15 2940,13.7,352.77999999999986,0.754,0.26,515.466,24.152347291296323,137.47999999999993,0.539,4796.0,2.01,14.699999999999998,1.1,7.1
BD+20 2457 b,BD+20 2457,12.1,6807.630000000003,21.10000000000001,0.15,578.1659999999999,31.256544484965783,379.63000000000017,1.45,4137.0,3.17,48.99999999999999,2.8,2.0017000000000005
BD+20 2457 c,BD+20 2457,12.4,3963.1700000000023,11.4,0.18,582.832,31.256544484965783,621.9899999999999,2.01,4137.0,3.17,48.99999999999999,2.8,1.4550000000000003
BD+20 274 b,BD+20 274,13.0,1334.886,3.3400000000000003,0.21,420.93999999999994,7.874675118681313,578.1999999999998,1.3,4296.0,1.96,17.300000000000004,0.8,5.234100000000001
BD+20 594 b,BD+20 594,2.57807,22.248100000000004,7.890000000000001,0.0,546.0,21.041883607932846,41.685500000000005,0.241,5766.0,-0.05552,1.08,1.6699999999999997,3.34
BD+37 3172 b,BD+37 3172,12.4,3368.981114199998,9.71,0.59,538.966,19.025707101421606,1887.76,4.6499999999999995,4500.0,2.84,50.239999999999995,3.7500000000000004,3.285
BD+42 2315 b,BD+42 2315,14.2,174.80562385000002,0.3350000000000001,0.73,527.766,39.85733656554377,123.04999999999998,0.54,4500.0,1.99,17.850000000000005,1.3799999999999997,5.274
BD+45 564 b,BD+45 564,13.6,432.2466335199998,0.944,0.12,448.8,12.060845569876488,307.8799999999999,0.83,5004.0,-0.39918,0.813064,0.81,5.415000000000001
BD+48 738 b,BD+48 738,13.9,289.22530000000006,0.592,0.2,605.6659999999999,29.86350947154319,392.5999999999999,1.0,4414.0,1.69,11.0,0.74,4.3921
BD+48 740 b,BD+48 740,13.5,540.311,1.21,0.76,400.6,6.250960214680051,732.9999999999997,1.7000000000000002,4534.0,1.64,10.329999999999998,1.09,5.618
BD+49 828 b,BD+49 828,13.5,508.50000000000006,1.14,0.35,347.41999999999996,4.816639203647652,2590.0,4.199999999999999,4943.0,1.47,7.599999999999999,1.5200000000000002,2.34
BD+55 362 b,BD+55 362,14.0,228.8364530400001,0.4580000000000001,0.27,438.2,37.46355496496663,265.59000000000003,0.78,5012.0,-0.31295,0.896193,0.909,5.763
BD+60 1417 b,BD+60 1417,14.68376472,4767.426104999996,8.269999999999998,0.39963899999999997,1303.0,301.0458646615281,11.122139999999998,1662.0000000000005,4993.0,0.35595,0.797,1.0,0.1
BD+63 1405 b,BD+63 1405,12.4,3305.4154327999995,9.53,0.88,556.6,31.200713168721222,1198.4800000000002,2.0599999999999996,5000.0,-0.41295,0.8047239999999999,0.816,5.122999999999999
BD-06 1339 b,BD-06 1339,2.8395539349999996,1523.0337263400006,2.56,0.0,949.8,110.82879370148355,3.8728000000000002,0.0428,4324.0,-1.022,0.686355,0.7,4.4
BD-06 1339 c,BD-06 1339,8.38,53.00000000000001,0.49500000000000005,0.31,396.8,4.237561955976045,125.94,0.435,4324.0,-1.022,0.686355,0.7,4.4
BD-08 2823 b,BD-08 2823,2.8395539349999996,2948.494131739999,2.56,0.15,618.2,33.74280195049086,5.6,0.06,4816.0,-0.62597,0.71,0.5,4.5
BD-08 2823 c,BD-08 2823,12.5,103.99999999999997,0.293,0.19,350.29,4.704058911557706,237.5999999999999,0.6800000000000002,4746.0,-0.62597,0.71,0.74,4.5
BD-10 3166 b,BD-10 3166,14.1,187.51969999999994,0.368,0.02,1292.6,410.0058630680254,3.4877699999999994,0.04,5393.0,-0.1912,0.91,1.4700000000000002,0.25
BD-11 4672 b,BD-11 4672,14.1,206.58949999999993,0.405,0.05,526.22,36.89282112814516,1634.0000000000005,2.36,4550.0,-0.8041,0.639,0.651,7.4
BD-11 4672 c,BD-11 4672,4.04,15.37,1.2800000000000002,0.4,265.91999999999996,1.5134164146303446,74.2,0.3,4550.0,-0.8041,0.639,0.651,7.4
