# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Mar  5 02:02:54 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_ageerr1:     Stellar Age Upper Unc. [Gyr]
# COLUMN st_ageerr2:     Stellar Age Lower Unc. [Gyr]
# COLUMN st_agelim:      Stellar Age Limit Flag
#
pl_name,hostname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_age,st_ageerr1,st_ageerr2,st_agelim
11 Com b,11 Com,323.21000000000,0.06000000000,-0.05000000000,0,1.1780000000,0.0000000000,0.0000000000,0,12.20000000,,,0,4914.89848585,39.09289406,-39.72855088,0,14.900000,,,0,0.238000,0.007000,-0.007000,0,,,,,,,,,4874.00,,,0,13.760000,2.850000,-2.450000,0,2.090000,0.640000,-0.630000,0,1.97823,0.18002,-0.15868,0,,,,
11 UMi b,11 UMi,516.21997000000,3.20000000000,-3.20000000000,0,1.5300000000,0.0700000000,-0.0700000000,0,12.30000000,,,0,4684.81420000,794.57500000,-794.57500000,0,13.800000,,,0,0.080000,0.030000,-0.030000,0,,,,,,,,,4213.00,46.00,-46.00,0,29.790000,2.840000,-2.840000,0,2.780000,0.690000,-0.690000,0,2.42951,0.00801,-0.00816,0,1.5600,0.5400,-0.5400,0
14 And b,14 And,186.76000000000,0.11000000000,-0.12000000000,0,0.7750000000,0.0000000000,0.0000000000,0,13.10000000,,,0,1131.15130051,36.23243840,-38.77506565,0,2.760000,,,0,0.000000,,,0,,,,,,,,,4888.00,,,0,11.550000,1.120000,-0.510000,0,1.780000,0.430000,-0.290000,0,1.83992,0.08135,-0.04991,0,4.5000,1.9000,-1.9000,0
14 Her b,14 Her,1765.03890000000,1.67709000000,-1.87256000000,0,2.7740000000,0.1090000000,-0.1200000000,0,12.60000000,,,0,2559.47216157,518.69596022,-280.64248338,0,7.030000,,,0,0.373000,0.008000,-0.006000,0,,,,,,,,,5338.00,25.00,-25.00,0,0.930000,0.010000,-0.010000,0,0.910000,0.113000,-0.113000,0,-0.15273,0.01163,-0.00980,0,3.9000,,,0
16 Cyg B b,16 Cyg B,798.50000000000,1.00000000000,-1.00000000000,0,1.6600000000,0.0300000000,-0.0300000000,0,13.50000000,,,0,565.73740000,25.42640000,-25.42640000,0,1.260000,,,0,0.680000,0.020000,-0.020000,0,,,,,,,,,5750.00,8.00,-8.00,0,1.130000,0.010000,-0.010000,0,1.080000,0.040000,-0.040000,0,0.09729,0.00940,-0.01338,0,7.4000,0.1000,-0.1000,0
17 Sco b,17 Sco,578.38000000000,2.01000000000,-2.09000000000,0,1.4500000000,0.0200000000,-0.0200000000,0,12.90000000,,,0,1373.01871824,47.67426105,-38.13940884,0,3.510000,,,0,0.060000,0.030000,-0.020000,0,,,,,,,,,4157.00,11.00,-10.00,0,25.920000,0.780000,-0.740000,0,1.220000,0.130000,-0.140000,0,2.25435,0.02604,-0.02373,0,5.1300,2.1200,-1.3300,0
18 Del b,18 Del,982.85000000000,1.06000000000,-0.92000000000,0,2.4760000000,0.0020000000,-0.0020000000,0,12.50000000,,,0,2926.24614325,50.85254512,-24.47278734,0,8.230000,,,0,0.024000,0.007000,-0.018000,0,,,,,,,,,4980.00,,,0,8.800000,0.610000,-0.400000,0,2.100000,0.130000,-0.090000,0,1.63367,0.06102,-0.04283,0,1.1000,0.1000,-0.1000,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,,,,,330.0000000000,,,0,18.64700000,,,0,3000.00000000,300.00000000,-300.00000000,0,2.540000,,,0,,,,,,,,,1700.00,100.00,-100.00,0,4060.00,300.00,-200.00,0,1.313160,0.176833,-0.102363,0,0.850000,0.200000,-0.100000,0,-0.37000,0.15000,-0.15000,0,0.0050,,,0
24 Boo b,24 Boo,30.33000000000,0.00000000000,-0.01000000000,0,0.1940000000,0.0000000000,0.0000000000,0,13.90000000,,,0,280.64248338,11.44182265,-13.66662150,0,0.574000,,,0,0.032000,0.039000,-0.023000,0,,,,,,,,,4816.00,,,0,12.190000,1.450000,-1.280000,0,1.050000,0.270000,-0.180000,0,1.87691,0.08998,-0.09537,0,6.9200,4.8300,-2.7500,0
24 Sex b,24 Sex,452.80000000000,2.10000000000,-4.50000000000,0,1.3330000000,0.0040000000,-0.0090000000,0,13.40000000,,,0,632.46000000,82.63000000,-120.77000000,0,1.440000,,,0,0.090000,0.140000,-0.060000,0,,,,,,,,,5098.00,44.00,-44.00,0,4.900000,0.080000,-0.080000,0,1.540000,0.080000,-0.080000,0,1.16400,0.00300,-0.00300,0,2.7000,0.4000,-0.4000,0
24 Sex c,24 Sex,883.00000000000,32.40000000000,-13.80000000000,0,2.0800000000,0.0500000000,-0.0200000000,0,13.90000000,,,0,273.32000000,111.24000000,-69.92000000,0,0.559000,,,0,0.290000,0.160000,-0.090000,0,,,,,,,,,5098.00,44.00,-44.00,0,4.900000,0.080000,-0.080000,0,1.540000,0.080000,-0.080000,0,1.16400,0.00300,-0.00300,0,2.7000,0.4000,-0.4000,0
2M0437 b,2MASS J04372171+2651014,,,,,118.0000000000,1.3000000000,-1.3000000000,0,13.00000000,,,0,1271.31362800,317.82840700,-317.82840700,0,3.180000,,,0,,,,,,,,,1450.00,50.00,-50.00,0,3100.00,100.00,-100.00,0,0.840000,0.110000,-0.110000,0,0.170000,0.010000,-0.020000,0,-1.16368,0.00315,-0.00318,0,0.0025,0.0004,-0.0004,0
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,,,,,84.0000000000,,,0,12.30000000,,,0,4131.79000000,317.83000000,-317.83000000,0,12.200000,,,0,,,,,,,,,,,,,,,,,,,,,0.190000,0.020000,-0.020000,0,,,,,0.0300,,,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,,,,,52.0000000000,6.0000000000,-6.0000000000,0,11.20900000,,,0,7786.50000000,794.50000000,-794.50000000,0,30.400000,,,0,,,,,,,,,1600.00,100.00,-100.00,0,3530.00,50.00,-50.00,0,0.366450,0.011155,-0.011155,0,0.400000,0.050000,-0.050000,0,-1.72000,0.11000,-0.11000,0,0.1200,0.0100,-0.0100,0
2MASS J02192210-3925225 b,2MASS J02192210-3925225,,,,,156.0000000000,10.0000000000,-10.0000000000,0,16.14096000,0.33627000,-0.33627000,0,4417.83700000,349.61300000,-349.61300000,0,5.770000,,,0,,,,,,,,,,,,,3064.00,76.00,-76.00,0,0.281000,0.013000,-0.013000,0,0.108000,0.011000,-0.011000,0,-2.23000,0.06000,-0.06000,0,0.0350,0.0050,-0.0050,0
2MASS J0249-0557 c,2MASS J0249-0557 A,,,,,1950.0000000000,200.0000000000,-200.0000000000,0,12.40000000,,,0,3686.80952120,413.17692910,-317.82840700,0,10.600000,,,0,,,,,,,,,,,,,2859.00,157.00,-157.00,0,0.315959,0.009624,-0.009624,0,0.046000,0.012000,-0.011000,0,-2.59000,0.09000,-0.09000,0,0.0220,0.0060,-0.0060,0
2MASS J03590986+2009361 b,2MASS J03590986+2009361,,,,,572.0000000000,7.0000000000,-7.0000000000,0,12.20000000,,,0,5720.91132600,317.82840700,-317.82840700,0,17.300000,,,0,,,,,,,,,2369.00,21.00,-5.00,0,2943.00,157.00,-157.00,0,0.289776,0.010070,-0.010070,0,0.264996,0.020979,-0.020979,0,-2.24602,0.10888,-0.14566,0,,,,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,,,,,15.0000000000,,,0,12.60000000,,,0,2383.60000000,794.50000000,-794.50000000,0,6.550000,,,0,,,,,,,,,,,,,2936.00,182.00,-182.00,0,0.231916,0.011553,-0.011553,0,0.019000,,,0,-2.44363,0.13081,-0.18807,0,0.0010,,,0
2MASS J11011926-7732383 b,2MASS J11011926-7732383,,,,,266.0000000000,8.0000000000,-8.0000000000,0,11.90000000,,,0,8899.19539600,3178.28407000,-2224.79884900,0,29.000000,,,0,,,,,,,,,2677.00,78.00,-76.00,0,,,,,,,,,,,,,,,,,,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,,,,,587.0000000000,2.0000000000,-2.0000000000,0,12.10000000,,,0,6356.56814000,317.82840700,-317.82840700,0,19.700000,,,0,,,,,,,,,2506.00,2.00,-2.00,0,3021.00,157.00,-157.00,0,0.600455,0.017923,-0.017923,0,0.588460,0.020331,-0.020331,0,-1.56774,0.10356,-0.13626,0,,,,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,,,,,55.0000000000,,,0,12.90000000,,,0,1589.15000000,635.66000000,-635.66000000,0,4.070000,,,0,,,,,,,,,1250.00,200.00,-200.00,0,2825.00,157.00,-157.00,0,0.218870,0.006976,-0.006976,0,0.024000,,,0,-2.56086,0.10996,-0.14760,0,0.0080,0.0040,-0.0030,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,406.00000000000,4.00000000000,-4.00000000000,0,0.9200000000,0.0200000000,-0.0200000000,0,13.40000000,,,0,603.87700000,31.78300000,-31.78300000,0,1.380000,,,0,0.330000,0.050000,-0.050000,0,,,,,,,,,29564.00,,,0,0.203000,0.001000,-0.001000,0,0.480000,,,0,1.45000,,,0,,,,
2MASS J21252752-8138278 b,2MASS J21252752-8138278,,,,,7493.0000000000,11.0000000000,-11.0000000000,0,12.40000000,,,0,3813.94088400,317.82840700,-317.82840700,0,11.000000,,,0,,,,,,,,,1616.00,32.00,-3.00,0,3592.00,157.00,-157.00,0,0.672832,0.020973,-0.020973,0,0.643977,0.020802,-0.020802,0,-1.16815,0.09286,-0.11827,0,,,,
2MASS J22362452+4751425 b,2MASS J22362452+4751425,,,,,230.0000000000,20.0000000000,-20.0000000000,0,12.30000000,,,0,3972.87500000,476.74500000,-476.74500000,0,11.700000,,,0,,,,,,,,,,,,,4045.00,35.00,-35.00,0,0.641152,0.060021,-0.062602,0,0.600000,0.050000,-0.050000,0,-1.02143,0.00156,-0.00157,0,0.1200,0.0100,-0.0100,0
2MASS J22501512+2325342 b,2MASS J22501512+2325342,,,,,518.0000000000,40.0000000000,-40.0000000000,0,11.90000000,,,0,9534.85221000,3496.11247700,-1271.31362800,0,31.100000,,,0,,,,,,,,,1600.00,200.00,-200.00,0,3352.00,157.00,-157.00,0,0.437589,0.012922,-0.012922,0,0.433173,0.020207,-0.020207,0,-1.66196,0.09613,-0.12365,0,0.1500,,,0
4 UMa b,4 UMa,270.27000000000,0.24000000000,-0.09000000000,0,0.8770000000,0.0010000000,0.0000000000,0,12.60000000,,,0,2511.48007211,63.24785299,-120.13913785,0,6.900000,,,0,0.453000,0.021000,-0.036000,0,,,,,,,,,4415.00,70.00,-70.00,0,18.110000,1.470000,-1.470000,0,1.234000,0.150000,-0.150000,0,2.06236,0.00794,-0.00809,0,4.6040,2.0000,-2.0000,0
47 UMa b,47 UMa,1078.00000000000,2.00000000000,-2.00000000000,0,2.1000000000,0.0200000000,-0.0200000000,0,13.20000000,,,0,804.08000000,22.25000000,-19.07000000,0,1.920000,,,0,0.032000,0.014000,-0.014000,0,,,,,,,,,5872.00,92.94,-113.53,0,1.213340,0.038883,-0.058353,0,1.060000,0.128402,-0.137608,0,0.19780,0.01239,-0.01118,0,6.4800,1.4400,-1.0400,0
47 UMa c,47 UMa,2391.00000000000,100.00000000000,-87.00000000000,0,3.6000000000,0.1000000000,-0.1000000000,0,14.20000000,,,0,171.62100000,20.97600000,-23.20100000,0,0.329000,,,0,0.098000,0.047000,-0.096000,0,,,,,,,,,5872.00,92.94,-113.53,0,1.213340,0.038883,-0.058353,0,1.060000,0.128402,-0.137608,0,0.19780,0.01239,-0.01118,0,6.4800,1.4400,-1.0400,0
47 UMa d,47 UMa,14002.00000000000,4018.00000000000,-5095.00000000000,0,11.6000000000,2.1000000000,-2.9000000000,0,13.50000000,,,0,521.22000000,92.17000000,-152.55000000,0,1.160000,,,0,0.160000,0.090000,-0.160000,0,,,,,,,,,5872.00,92.94,-113.53,0,1.213340,0.038883,-0.058353,0,1.060000,0.128402,-0.137608,0,0.19780,0.01239,-0.01118,0,6.4800,1.4400,-1.0400,0
51 Eri b,51 Eri,9100.00000000000,1100.00000000000,-1500.00000000000,0,10.4000000000,0.8000000000,-1.1000000000,0,,,,,3464.32963630,,,1,,,,,0.570000,0.080000,-0.060000,0,,,,,807.00,45.00,-45.00,0,7422.00,58.00,-58.00,0,1.450000,0.020000,-0.020000,0,1.750000,0.050000,-0.050000,0,0.75740,0.00723,-0.00735,0,0.0232,0.0017,-0.0020,0
51 Peg b,51 Peg,4.23078500000,0.00003600000,-0.00003600000,0,0.0527000000,0.0030000000,-0.0030000000,0,14.30000000,,,0,146.20180000,19.06980000,-3.17830000,0,0.275000,,,0,0.013000,0.012000,-0.012000,0,,,,,,,,,5758.00,101.62,-119.62,0,1.175610,0.067361,-0.035328,0,1.030000,0.166699,-0.085418,0,0.13631,0.00742,-0.01525,0,10.0000,,,0
55 Cnc B b,55 Cnc B,6.79940000000,0.00130000000,-0.00140000000,0,0.0440000000,0.0012000000,-0.0012000000,0,1.69000000,,,0,3.50000000,0.80000000,-0.80000000,0,3.980000,,,0,0.000000,,,0,,,,,,,,,3286.00,31.00,-31.00,0,0.274000,0.066000,-0.066000,0,0.260000,0.020000,-0.020000,0,-2.10811,0.10004,-0.13021,0,10.0000,,,-1
55 Cnc B c,55 Cnc B,33.74700000000,0.03500000000,-0.03500000000,0,0.1300000000,0.0030000000,-0.0030000000,0,2.16000000,,,0,5.30000000,1.40000000,-1.40000000,0,2.890000,,,0,0.000000,,,0,,,,,,,,,3286.00,31.00,-31.00,0,0.274000,0.066000,-0.066000,0,0.260000,0.020000,-0.020000,0,-2.10811,0.10004,-0.13021,0,10.0000,,,-1
