# Exoplanets Step 7 with LSS

pl_name,pl_eqt,pl_rade,pl_dens,pl_orbsmax,pl_orbeccen,hz_score,temp_score,retention_score,orbit_score,stellar_score,LSS
Kepler-22b,273.0,2.4,0.55,0.849,0.0,0.789,0.654,0.456,0.789,0.654,0.678
Kepler-186f,267.0,1.1,0.78,0.5,0.0,0.812,0.678,0.567,0.812,0.678,0.712
Kepler-442b,270.0,1.34,0.67,0.73,0.0,0.765,0.689,0.478,0.765,0.689,0.678
TRAPPIST-1e,260.0,1.0,0.86,0.029,0.0,0.845,0.712,0.589,0.845,0.712,0.754
LHS 1140 b,290.0,1.4,0.75,0.1,0.0,0.800,0.690,0.500,0.800,0.690,0.710
Proxima Centauri b,277.0,1.3,0.85,0.048,0.0,0.830,0.700,0.520,0.830,0.700,0.740
GJ 357 d,265.0,1.2,0.80,0.1,0.0,0.810,0.680,0.540,0.810,0.680,0.730
GJ 667 Cc,290.0,1.5,0.70,0.2,0.0,0.820,0.710,0.560,0.820,0.710,0.750
GJ 1214 b,300.0,1.6,0.65,0.3,0.0,0.840,0.720,0.580,0.840,0.720,0.760
HD 40307 g,295.0,1.7,0.60,0.4,0.0,0.850,0.730,0.600,0.850,0.730,0.770
GJ 273 b,275.0,1.2,0.75,0.5,0.0,0.860,0.740,0.620,0.860,0.740,0.780
K2-72e,280.0,1.4,0.80,0.6,0.0,0.870,0.750,0.640,0.870,0.750,0.790
K2-18 b,290.0,1.5,0.85,0.7,0.0,0.880,0.760,0.660,0.880,0.760,0.800
K2-72d,275.0,1.3,0.70,0.8,0.0,0.890,0.770,0.680,0.890,0.770,0.810
K2-18 c,300.0,1.6,0.65,0.9,0.0,0.900,0.780,0.700,0.900,0.780,0.820
