pl_name,hostname,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,st_teff,st_lum,st_rad,st_mass,st_age
14 Her b,14 Her,12.6,2559.47216157,7.029999999999999,0.373,277.86,2.53741043308684,1765.0388999999996,2.774,5338.0,-0.15273,0.9300000000000002,0.91,3.9
24 Sex b,24 Sex,13.4,632.4600000000003,1.44,0.09,606.2,36.14103050613544,452.8000000000001,1.333,5098.0,1.164,4.9,1.54,2.7
24 Sex c,24 Sex,13.9,273.31999999999994,0.559,0.29,623.266,29.5683276181823,882.9999999999998,2.08,5098.0,1.164,4.9,1.54,2.7
47 UMa b,47 UMa,13.2,804.08,1.92,0.032,257.91,0.627103069853579,1078.0,2.1,5872.0,0.1978,1.21334,1.06,6.48
47 UMa c,47 UMa,14.2,171.621,0.329,0.098,227.75,0.6653179133554648,2390.9999999999995,3.6000000000000005,5872.0,0.1978,1.21334,1.06,6.48
51 Peg b,51 Peg,14.3,146.2018,0.275,0.013,1252.42,439.0683943094727,4.230785,0.0527,5758.0,0.13631,1.17561,1.03,10.0
55 Cnc B b,55 Cnc B,1.69,3.5000000000000004,3.98,0.0,422.68,8.410473097276553,6.7994,0.044,3286.0,-2.10811,0.274,0.26,10.0
55 Cnc B c,55 Cnc B,2.16,5.299999999999999,2.89,0.0,305.03000000000003,1.6679589675996542,33.74699999999999,0.13,3286.0,-2.10811,0.274,0.26,10.0
55 Cnc b,55 Cnc,13.9,263.97850000000005,0.54,0.0029,700.0,68.1238452514723,14.651552000000002,0.118,5198.0,-0.19695,0.98,1.015,10.0
55 Cnc c,55 Cnc,8.51,54.47380000000001,0.486,0.088,517.363,8.00293123690389,44.393600000000006,0.247,5198.0,-0.19695,0.98,1.015,10.0
55 Cnc e,55 Cnc,1.875,7.990000000000001,6.660000000000002,0.05,1958.0,2657.8322000000007,0.7365474000000001,0.01544,5172.0,-0.19695,0.943,0.905,5.5
55 Cnc f,55 Cnc,7.59,44.812,0.563,0.063,336.2,3.0036114364563176,260.57999999999987,0.8019999999999999,5198.0,-0.19695,0.98,1.015,10.0
6 Lyn b,6 Lyn,13.4,597.8352335700002,1.37,0.042,403.73,5.21412504280787,919.8600000000004,2.0280000000000005,4941.0,1.1186,4.94,1.32,2.353
61 Vir b,61 Vir,2.11,5.1,2.98,0.12,1090.0790000000002,292.37452736594616,4.215,0.050201,5577.0,-0.095,0.963,0.942,8.96
61 Vir c,61 Vir,4.46,18.2,1.13,0.14,533.8399999999999,15.232287836456816,38.021,0.2174999999999999,5577.0,-0.095,0.963,0.942,8.96
