pl_name,hostname,pl_rade,pl_dens,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_mass,st_age
14 Her b,14 Her,12.6,2.0831845279586703,0.373,277.86,2.774,5338.0,0.91,3.9
24 Sex b,24 Sex,13.4,0.8919980393051105,0.09,606.2,1.333,5098.0,1.54,2.7
24 Sex c,24 Sex,13.9,0.4440445900756395,0.29,623.266,2.08,5098.0,1.54,2.7
47 UMa b,47 UMa,13.2,1.0715836162801904,0.032,257.91,2.1,5872.0,1.06,6.48
47 UMa c,47 UMa,14.2,0.2844267797311083,0.098,227.75,3.6000000000000005,5872.0,1.06,6.48
51 Peg b,51 Peg,14.3,0.2429461786103894,0.013,1252.42,0.0527,5758.0,1.03,10.0
55 Cnc B b,55 Cnc B,1.69,1.6054298910365616,0.0,422.68,0.044,3286.0,0.26,10.0
55 Cnc B c,55 Cnc B,2.16,1.358409157630355,0.0,305.03000000000003,0.13,3286.0,0.26,10.0
55 Cnc b,55 Cnc,13.9,0.4317824164255378,0.0029,700.0,0.118,5198.0,1.015,10.0
55 Cnc c,55 Cnc,8.51,0.3960879462955674,0.088,517.363,0.247,5198.0,1.015,10.0
55 Cnc e,55 Cnc,1.875,2.0360119837525,0.05,1958.0,0.01544,5172.0,0.905,5.5
55 Cnc f,55 Cnc,7.59,0.4466070514393395,0.063,336.2,0.8019999999999999,5198.0,1.015,10.0
6 Lyn b,6 Lyn,13.4,0.8628899551470399,0.042,403.73,2.0280000000000005,4941.0,1.32,2.353
61 Vir b,61 Vir,2.11,1.3812818192963463,0.12,1090.0790000000002,0.050201,5577.0,0.942,8.96
61 Vir c,61 Vir,4.46,0.7561219797213337,0.14,533.8399999999999,0.2174999999999999,5577.0,0.942,8.96
61 Vir d,61 Vir,5.11,0.664233170395303,0.35,362.2,0.476,5577.0,0.942,8.96
7 CMa b,7 CMa,13.4,0.8501509293696101,0.06,354.12,1.758,4826.0,1.34,4.3
7 CMa c,7 CMa,13.9,0.4485245975686113,0.08,366.62,2.153,4826.0,1.34,4.3
70 Vir b,70 Vir,12.6,2.020222182019865,0.3988,425.466,0.481,5495.0,1.09,7.77
AT2021ueyL b,AT2021ueyL,13.6,0.6575200029167942,0.36893,333.4,4.01,3680.0,0.49,6.5
AU Mic b,AU Mic,3.95677019,0.8415671856782186,0.00577,600.0,0.0649,3678.0,0.51,0.0201
AU Mic c,AU Mic,2.52202066,0.7975071958841881,0.00338,459.0,0.1108,3678.0,0.51,0.0201
AU Mic d,AU Mic,1.02,1.864080130807681,0.00305,807.4,0.102,3678.0,0.51,0.0201
AU Mic e,AU Mic,4.87,0.6931471805599453,0.1557,480.0100000000001,0.102,3665.0,0.6000000000000001,0.0185
BD+05 4868 A b,BD+05 4868 A,2.839553935,1.269760544863939,0.1241,1820.0,0.0208,4596.0,0.7,11.1
BD+14 4559 b,BD+14 4559,13.8,0.5253200699164432,0.29,186.19,0.78,4864.0,0.49,5.561
BD+20 594 b,BD+20 594,2.57807,2.1849270495258133,0.0,546.0,0.241,5766.0,1.6699999999999997,3.34
BD+45 564 b,BD+45 564,13.6,0.6647477060382473,0.12,448.8,0.83,5004.0,0.81,5.415000000000001
BD+55 362 b,BD+55 362,14.0,0.3770656335864664,0.27,438.2,0.78,5012.0,0.909,5.763
BD-06 1339 b,BD-06 1339,2.839553935,1.269760544863939,0.0,949.8,0.0428,4324.0,0.7,4.4
BD-06 1339 c,BD-06 1339,8.38,0.4021262068426497,0.31,396.8,0.435,4324.0,0.7,4.4
BD-08 2823 b,BD-08 2823,2.839553935,1.269760544863939,0.15,618.2,0.06,4816.0,0.5,4.5
BD-08 2823 c,BD-08 2823,12.5,0.2569650997897204,0.19,350.29,0.6800000000000002,4746.0,0.74,4.5
BD-10 3166 b,BD-10 3166,14.1,0.3133498192003587,0.02,1292.6,0.04,5393.0,1.4700000000000002,0.25
BD-11 4672 b,BD-11 4672,14.1,0.3400373027857091,0.05,526.22,2.36,4550.0,0.651,7.4
BD-11 4672 c,BD-11 4672,4.04,0.8241754429663495,0.4,265.92,0.3,4550.0,0.651,7.4
BD-14 3065 b,BD-14 3065 A,21.59,1.1474024528375415,0.066,2001.0,0.0656,6935.0,1.41,2.24
BD-17 63 b,BD-17 63,12.8,1.667706820558076,0.5439,195.7,1.34,4714.0,0.7410000000000001,4.3
BD-210397 b,BD-210397,14.0,0.3569748989477302,0.1,84.22,2.63,4051.0,0.679,6.2
BEBOP-3 b,BEBOP-3,14.2,0.2926696139628199,0.247,614.1,1.444,6033.0,1.083,5.184
Barnard b,Barnard's star,0.72,1.6863989535702286,0.03,438.0,0.0229,3195.0,0.162,4.74
Barnard c,Barnard's star,0.743,1.7029282555214391,0.08,400.0,0.0274,3195.0,0.162,5.366
Barnard d,Barnard's star,0.694,1.6714733033535532,0.04,483.0,0.0188,3195.0,0.162,5.254
Barnard e,Barnard's star,0.637,1.62924053973028,0.04,340.0,0.0381,3195.0,0.162,6.757000000000001
CD Cet b,CD Cet,1.82,1.5260563034950494,0.13491,464.0,0.0185,3130.0,0.161,3.0
CI Tau c,CI Tau,13.0,1.3506671834767394,0.58,671.29,0.1699999999999999,3807.0,0.9,0.0025
CoRoT-1 b,CoRoT-1,16.7,0.3220834991691133,0.0,1898.0,0.02752,5950.0,0.95,1.6
CoRoT-10 b,CoRoT-10,10.87,1.547562508716013,0.53,600.0,0.1055,5075.0,0.89,3.0
CoRoT-11 b,CoRoT-11,16.03,0.688134638736401,0.0,1657.0,0.0436,6440.0,1.27,2.0
CoRoT-12 b,CoRoT-12,16.14,0.3442986728706769,0.07,1442.0,0.04016,5675.0,1.078,6.3
CoRoT-13 b,CoRoT-13,9.92,1.205970806988609,0.0,1700.0,0.051,5945.0,1.09,1.635
CoRoT-14 b,CoRoT-14,12.22,2.1162555148025524,0.0,1952.0,0.027,6035.0,1.13,4.2
CoRoT-16 b,CoRoT-16,13.11,0.3646431135879092,0.33,1048.9,0.0618,5650.0,1.098,6.73
CoRoT-17 b,CoRoT-17,11.43,1.3402504226184837,0.0,1626.0,0.0461,5740.0,1.04,10.7
CoRoT-18 b,CoRoT-18,14.68,1.1631508098056809,0.08,1550.0,0.0295,5440.0,0.95,0.6
CoRoT-19 b,CoRoT-19,14.46,0.5364933705145685,0.047,2000.0,0.0518,6090.0,1.21,5.0
CoRoT-2 b,CoRoT-2,16.432,0.904218150639886,0.0143,1521.0,0.02798,5625.0,0.96,2.7
CoRoT-21 b,CoRoT-21,14.5717,0.8586616190375187,0.0,2154.864,0.0417,6200.0,1.29,4.1
CoRoT-22 b,CoRoT-22,4.88,0.2223432311434406,0.077,885.0,0.092,5939.0,1.099,3.3
CoRoT-23 b,CoRoT-23,11.77,1.3862943611198906,0.16,1660.0,0.048,5900.0,1.14,7.2
CoRoT-24 b,CoRoT-24,3.7,0.6418538861723948,0.0,1070.0,0.056,4950.0,0.91,11.0
CoRoT-24 c,CoRoT-24,5.0,0.832909122935104,0.0,850.0,0.098,4950.0,0.91,11.0
CoRoT-25 b,CoRoT-25,12.11,0.1397619423751586,0.0,1330.0,0.0578,6040.0,1.09,4.5
CoRoT-26 b,CoRoT-26,14.12,0.2468600779315258,0.0,1600.0,0.0526,5590.0,1.09,8.6
CoRoT-27 b,CoRoT-27,11.287,2.6100697927420065,0.065,1500.0,0.0476,5900.0,1.05,4.21
CoRoT-28 b,CoRoT-28,10.704595,0.5247285289349821,0.047,1338.753,0.0603,5150.0,1.01,12.0
CoRoT-29 b,CoRoT-29,10.0881,0.8960880245566356,0.082,1136.6439999999998,0.0386,5260.0,0.97,4.5
CoRoT-30 b,CoRoT-30,11.309881,1.4929040961781488,0.007,1058.0,0.0844,5650.0,0.98,3.0
CoRoT-31 b,CoRoT-31,16.36514,0.2851789422336624,0.02,1637.6,0.0586,5700.0,1.25,4.7
CoRoT-32 b,CoRoT-32,6.38913,0.7419373447293773,0.0780999999999999,938.0,0.071,5970.0,1.08,1.1187
CoRoT-35 b,CoRoT-35,18.83108758,0.2546422183735807,0.0,1747.0,0.0429,6390.0,1.01,6.1
CoRoT-36 b,CoRoT-36,15.80466279,0.2231435513142097,0.0,1567.0,0.066,6730.0,1.32,2.1
CoRoT-4 b,CoRoT-4,13.34,0.421994410059375,0.0,1074.0,0.09,6190.0,1.16,1.0
CoRoT-5 b,CoRoT-5,15.558,0.1963888140053901,0.09,1438.0,0.04947,6100.0,1.0,6.9
CoRoT-6 b,CoRoT-6,13.068,1.199964782928397,0.1,1017.0,0.0855,6090.0,1.05,2.5
CoRoT-7 b,CoRoT-7,1.68135,2.3374694948475474,0.0,1756.0,0.017016,5275.0,0.8200000000000001,1.8
CoRoT-7 c,CoRoT-7,2.83,1.1118575154181305,0.0,1097.4,0.046,5256.0,0.899,1.8
CoRoT-7 d,CoRoT-7,4.31,0.7793248768009976,0.0834999999999999,837.4,0.102,5250.0,0.915,1.8
CoRoT-8 b,CoRoT-8,6.39,0.9555114450274363,0.0,870.0,0.063,5080.0,0.8800000000000001,3.0
CoRoT-9 b,CoRoT-9,11.948794,0.6205764877251099,0.133,420.0,0.4021,5625.0,0.96,6.0
DMPP-1 b,DMPP-1,5.29,0.6423800635062922,0.083,877.0,0.1462,6196.0,1.21,2.01
DMPP-1 c,DMPP-1,3.06,1.043804052173115,0.057,1239.0,0.0733,6196.0,1.21,2.01
DMPP-1 d,DMPP-1,1.65,1.62924053973028,0.07,1632.0,0.0422,6196.0,1.21,2.01
DMPP-1 e,DMPP-1,1.86,1.5107219394949427,0.07,1314.0,0.0651,6196.0,1.21,2.01
DMPP-2 b,DMPP-2,14.3,0.2319050569827825,0.078,1000.0,0.0664,6500.0,1.44,2.0
DMPP-3 A b,DMPP-3 A,1.41,1.801709800081223,0.14,854.0,0.0662,5138.0,0.87,10.9
DMPP-4 b,DMPP-4,3.53,0.924258901523332,0.063,1567.6,0.04853,6400.0,1.25,2.15
DS Tuc A b,DS Tuc A,5.7,1.269760544863939,0.0,850.0,0.102,5428.0,1.01,0.045
EPIC 201170410.02,EPIC 201170410,1.047,1.873339456220478,0.0,592.2,0.0349,3648.0,0.287,4.779999999999999
EPIC 201238110 b,EPIC 201238110,1.87,1.5040773967762742,0.09866,388.3,0.102,3587.0,0.41,3.68
EPIC 201427007 b,EPIC 201427007,1.5,1.7334238922150915,0.04,1478.5,0.102,5633.0,0.9300000000000002,7.784999999999999
EPIC 201497682 b,EPIC 201497682,0.692,1.6695918352538477,0.0186,807.2,0.102,4991.0,0.78,6.106
EPIC 201595106 b,EPIC 201595106,1.565,2.4932054526026954,0.0,2038.0,0.0177,5679.0,0.958,6.0
EPIC 201615463 c,K2-166,1.22,1.9444805562457188,0.0,1337.42,0.102,5960.0,1.073,5.574
