pl_name,hostname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_age,st_ageerr1,st_ageerr2,st_agelim
11 Com b,11 Com,323.21,0.06,-0.05,0.0,1.178,0.0,0.0,0.0,12.2,,,0.0,4914.89848585,39.09289406,-39.72855088,0.0,14.9,,,0.0,0.238,0.007,-0.007,0.0,,,,,,,,,4874.0,,,0.0,13.76,2.85,-2.45,0.0,2.09,0.64,-0.63,0.0,1.97823,0.18002,-0.15868,0.0,,,,
11 UMi b,11 UMi,516.21997,3.2,-3.2,0.0,1.53,0.07,-0.07,0.0,12.3,,,0.0,4684.8142,794.575,-794.575,0.0,13.8,,,0.0,0.08,0.03,-0.03,0.0,,,,,,,,,4213.0,46.0,-46.0,0.0,29.79,2.84,-2.84,0.0,2.78,0.69,-0.69,0.0,2.42951,0.00801,-0.00816,0.0,1.56,0.54,-0.54,0.0
14 And b,14 And,186.76,0.11,-0.12,0.0,0.775,0.0,0.0,0.0,13.1,,,0.0,1131.15130051,36.2324384,-38.77506565,0.0,2.76,,,0.0,0.0,,,0.0,,,,,,,,,4888.0,,,0.0,11.55,1.12,-0.51,0.0,1.78,0.43,-0.29,0.0,1.83992,0.08135,-0.04991,0.0,4.5,1.9,-1.9,0.0
14 Her b,14 Her,1765.0389,1.67709,-1.87256,0.0,2.774,0.109,-0.12,0.0,12.6,,,0.0,2559.47216157,518.69596022,-280.64248338,0.0,7.03,,,0.0,0.373,0.008,-0.006,0.0,,,,,,,,,5338.0,25.0,-25.0,0.0,0.93,0.01,-0.01,0.0,0.91,0.113,-0.113,0.0,-0.15273,0.01163,-0.0098,0.0,3.9,,,0.0
16 Cyg B b,16 Cyg B,798.5,1.0,-1.0,0.0,1.66,0.03,-0.03,0.0,13.5,,,0.0,565.7374,25.4264,-25.4264,0.0,1.26,,,0.0,0.68,0.02,-0.02,0.0,,,,,,,,,5750.0,8.0,-8.0,0.0,1.13,0.01,-0.01,0.0,1.08,0.04,-0.04,0.0,0.09729,0.0094,-0.01338,0.0,7.4,0.1,-0.1,0.0
17 Sco b,17 Sco,578.38,2.01,-2.09,0.0,1.45,0.02,-0.02,0.0,12.9,,,0.0,1373.01871824,47.67426105,-38.13940884,0.0,3.51,,,0.0,0.06,0.03,-0.02,0.0,,,,,,,,,4157.0,11.0,-10.0,0.0,25.92,0.78,-0.74,0.0,1.22,0.13,-0.14,0.0,2.25435,0.02604,-0.02373,0.0,5.13,2.12,-1.33,0.0
18 Del b,18 Del,982.85,1.06,-0.92,0.0,2.476,0.002,-0.002,0.0,12.5,,,0.0,2926.24614325,50.85254512,-24.47278734,0.0,8.23,,,0.0,0.024,0.007,-0.018,0.0,,,,,,,,,4980.0,,,0.0,8.8,0.61,-0.4,0.0,2.1,0.13,-0.09,0.0,1.63367,0.06102,-0.04283,0.0,1.1,0.1,-0.1,0.0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,,,,,330.0,,,0.0,18.647,,,0.0,3000.0,300.0,-300.0,0.0,2.54,,,0.0,,,,,,,,,1700.0,100.0,-100.0,0.0,4060.0,300.0,-200.0,0.0,1.31316,0.176833,-0.102363,0.0,0.85,0.2,-0.1,0.0,-0.37,0.15,-0.15,0.0,0.005,,,0.0
24 Boo b,24 Boo,30.33,0.0,-0.01,0.0,0.194,0.0,0.0,0.0,13.9,,,0.0,280.64248338,11.44182265,-13.6666215,0.0,0.574,,,0.0,0.032,0.039,-0.023,0.0,,,,,,,,,4816.0,,,0.0,12.19,1.45,-1.28,0.0,1.05,0.27,-0.18,0.0,1.87691,0.08998,-0.09537,0.0,6.92,4.83,-2.75,0.0
24 Sex b,24 Sex,452.8,2.1,-4.5,0.0,1.333,0.004,-0.009,0.0,13.4,,,0.0,632.46,82.63,-120.77,0.0,1.44,,,0.0,0.09,0.14,-0.06,0.0,,,,,,,,,5098.0,44.0,-44.0,0.0,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,1.164,0.003,-0.003,0.0,2.7,0.4,-0.4,0.0
