pl_rade,pl_dens,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_mass,st_age
1.24,1.9416152247724323,0.0,1367.0,0.027,5580.0,0.83,2.75
1.692,1.6054298910365616,0.024,643.0,0.102,4938.0,0.478,7.961000000000003
1.58,1.6770965609079151,0.0,401.0,0.0217,3157.0,0.18,6.61
2.0692036,1.4011829736136412,0.0,813.0,0.0892,5501.0,0.96,0.4
1.99,1.4398351280479205,0.0,559.0,0.142,5228.0,0.904,1.86
2.839553935,1.269760544863939,0.131,813.4,0.12859,5911.0,1.06,4.3
2.04,1.415853163361435,0.0,526.0,0.2315,5544.0,0.9200000000000002,4.68
5.25,0.647626665258136,0.32,185.0,1.18,5166.0,0.8,7.81
13.2,1.1052568313867783,0.07348,364.8,1.6000000000000003,5994.0,1.16,2.6
0.72,1.6863989535702286,0.0,1609.0,0.01835,5316.0,0.86,4.27
9.30345398,0.6575200029167942,0.0,565.0,0.052,3659.0,0.53,5.162
6.9,0.4928652983889978,0.0507,342.92,0.102,6175.0,0.98,3.4192
11.0,0.2993635772256188,0.125,354.4,0.102,5491.0,0.943,7.0
1.71673535,1.589235205116581,0.0,900.0,0.14185,6477.0,1.3,3.72
11.88154,1.085189268335969,0.19,904.0,0.0965,5568.0,1.0,6.8
2.13,1.3737155789130306,0.0,485.0,0.0784,4253.0,0.5900000000000001,3.39
1.9,2.105352923464337,0.0114,755.0,0.112293,5833.0,1.02,4.7
4.058,0.9122827104766162,0.041,891.0,0.064,5100.0,0.87,3.1
1.02732734,1.8594181177018696,0.0,1659.0,0.02103,5721.0,0.983,0.89
12.745,0.7294791098073357,0.0,1516.0,0.02918,5475.0,1.076,3.0
2.916,1.2520964607141103,0.0,677.0,0.1721,5664.0,0.87,12.3
2.01,1.430311246536665,0.0,543.0,0.0695,4362.0,0.67,4.9
14.2,0.2615947376884625,0.17,766.1490000000001,0.14,5769.0,1.1,11.27
13.09208946,1.355835153635182,0.33,1648.0,0.073,6240.0,1.483,2.43
1.41,1.269760544863939,0.0,208.0,0.718,4925.0,0.69,7.0
1.47,1.752672080520008,0.0,852.0,0.11873,6154.0,1.17,2.88
9.32,0.3583735005743138,0.204648,573.8,1.68,5549.0,0.16,6.271
0.952,2.2407096892759584,0.094,681.0,0.1387,5495.0,0.929,5.6
1.84,1.5173226235262949,0.13,393.0,0.0692,3713.0,0.522,3.35
2.46610713,1.235471471385307,0.007,742.144,0.102,4937.0,0.826112,2.425
13.6,0.6981347220709844,0.25898,62.24,4.39,5549.0,0.51,6.586
2.95,1.075002423028976,0.0,767.0,0.2065,6152.0,1.12,3.02
2.32,1.2919836816486496,0.0,716.0,0.072,5211.0,0.7460000000000001,10.5
1.99,1.43746264769429,0.08,255.66,0.549,3350.0,0.33,2.0
12.3,2.5572273113676265,0.083,175.9,2.5040000000000004,5670.0,1.038,4.3
4.31,0.7793248768009976,0.25,1085.599,0.079,5783.0,1.0469999999999997,7.3
1.48,1.791759469228055,0.044,285.0,0.1052,3415.0,0.2923,4.94
2.884,1.2386640441158665,0.03,911.0,0.131,6252.6,1.2,1.15
1.50066814,1.7316555451583495,0.0,1165.0,0.05904,6398.0,1.141,0.25
5.11,0.664233170395303,0.0,625.0,0.0504,4188.0,0.6000000000000001,6.03
2.99,1.0612565021243408,0.09,578.46,3.1,5549.0,0.7,9.011
1.21,1.9401794743463283,0.0,1007.0,0.0576,5772.0,0.999,0.5
1.47,1.752672080520008,0.0,728.0,0.14732,6087.0,1.11,2.51
12.722215,0.394067063155795,0.023,1182.0,0.0466,5519.0,1.012,3.2
2.18,1.3506671834767394,0.0,678.0,0.1089,5485.0,0.91,4.27
13.9,0.4265740713183996,0.283,564.6,0.8539307543999999,6220.0,1.248,3.31
1.147,1.8825138324965192,0.223,508.0,0.02661,3340.0,0.257,3.317
13.8,0.4891933236388768,0.18196,314.86,1.21,5549.0,0.28,5.2942
1.92,1.4724720573609429,0.12,859.5,0.0763,5261.0,0.8370000000000001,7.8
10.42,1.269760544863939,0.0,837.0,0.0272,3896.0,0.556,7.4
7.37,0.4605844073292439,0.0,753.0,0.1057999999999999,5559.0,0.9200000000000002,3.98
13.22662,0.7419373447293773,0.0,2016.1,0.046,6050.0,0.76,3.0
2.70393215,1.1505720275988207,0.0,1108.0,0.0988,6455.0,1.087,2.95
2.839553935,1.269760544863939,0.0505,439.1,1.5,5773.0,1.13,5.7
1.14,1.9095425048844383,0.0,1292.0,0.085,6435.0,1.072,2.14
1.9,1.4861396960896067,0.0,536.0,0.138,5128.0,0.839,3.09
12.733424,0.1773090149704103,0.0,952.0,0.0382,4987.0,0.661,4.909999999999999
1.68,1.6114359150967734,0.0,713.0,0.0298,4128.0,0.5900000000000001,3.8
4.62,0.7323678937132266,0.0,904.0,0.0918,6032.0,0.999,4.328
4.13,2.1162555148025524,0.0,552.0,0.4389999999999999,6689.45,1.164,0.22
1.63,1.6428726885203375,0.0,887.0,0.1092,5758.0,1.08,6.61
2.52,1.269760544863939,0.062,533.0,0.0707,3985.0,0.58,0.8
1.6187808,1.6505798557652755,0.0,866.0,0.0588,5401.0,0.8709999999999999,1.6350000000000002
1.49,1.7404661748405044,0.0,377.0,0.214,4880.0,0.602,4.9
2.78,1.1249295969854831,0.0,896.0,0.0916,5603.0,0.87,4.27
2.34,1.2837077723447896,0.0,1079.0,0.12643,6203.0,1.41,2.88
5.25,0.6471032420585385,0.0,635.0,0.025,3514.0,0.4199999999999999,8.598
2.3,1.297463147413275,0.0,905.0,0.0805,5792.0,1.0,3.72
3.1,1.0331844833456545,0.0,583.0,0.213,6064.0,0.969,3.39
2.3,2.174751721484161,0.0,602.0,0.2199,6064.0,1.15,2.57
7.34,0.4624753628249439,0.153848,338.277,1.6000000000000003,5549.0,0.26,7.1637
2.93,1.0818051703517284,0.0,349.0,0.45332,5360.0,0.8800000000000001,4.57
2.87,1.095273387402595,0.366,308.22,0.384,3564.0,0.509,0.4
9.86,0.3371862673548699,0.24,756.04,0.2305,6160.0,1.407,2.4
2.36,1.275362800412609,0.0,485.0,0.3148,6052.0,1.13,1.41
3.22,1.0043016091968684,0.0,674.0,0.13324,5741.0,1.05,1.82
11.77,2.4849066497880004,0.57,767.0,0.0818,5200.0,0.91,6.2
1.22,1.9444805562457188,0.0,800.0,0.076,5571.0,0.904,4.17
1.42553017,1.786746927404511,0.0,913.0,0.08827,5714.96,1.02,4.37
14.896761,0.7499527543813974,0.166,2069.48,0.0174,5600.0,1.037,4.2
4.21,0.7975071958841881,0.0,664.0,0.2281,6195.0,1.17,2.88
0.78,1.7263316639055994,0.0,991.0,0.04958,5521.0,0.9300000000000002,3.89
14.39233122,0.6719235441083187,0.091,1484.0,0.102,6223.0,1.548,2.31
2.8,1.1216775615991057,0.0,1218.0,0.0339,5998.0,1.07,3.16
1.39,1.8148247421590515,0.0,937.0,0.038,5018.0,0.777,2.29
2.43,1.249901736214336,0.07,358.39,0.092,3371.0,0.4299999999999999,4.260000000000001
1.1,1.8961194845522973,0.0715,502.0,0.0441,3420.0,0.4,6.483
1.96,1.4539530095937054,0.0,540.0,0.08,4465.0,0.6599999999999999,2.4
1.528,1.907193228976987,0.061,910.0,0.064,5615.0,0.87,5.72
2.2,1.007957920399979,0.0,739.0,0.10896,5367.0,0.907,0.95
1.88,1.4973884086254774,0.0,568.0,0.13,5187.0,0.8500000000000001,4.27
1.61,1.6563214983329508,0.0,619.0,0.059,4651.0,0.75,3.98
16.376349,0.297137231222536,0.0,1871.0,0.0348,6280.0,1.19,2.29
1.23,1.94876321803772,0.0,797.0,0.059,4908.0,0.8,3.89
3.26,0.9932517730102834,0.0,351.0,0.4238,5637.0,0.97,2.45
10.76062147,1.3711807233098423,0.385,1056.0,0.0929999999999999,5909.0,1.02,0.4
8.65,0.3886579897917831,0.22,669.0,0.2919999999999999,5854.0,1.247,3.89
3.89,0.8544153281560676,0.1,532.384,0.1964,5494.0,0.8749999999999999,7.354999999999999
18.49481816,0.2538667239570503,0.0,1646.0,0.0421,5772.0,1.181,5.6
1.46954368,1.75958057086382,0.0,1842.23,0.02061,5908.0,1.0844000000000005,1.3
5.92,0.5760514086836981,0.373,303.62,1.0304,3500.0,0.4,6.0
1.42,1.790091412127358,0.0,1023.0,0.055,5631.0,0.87,0.98
12.6,2.080690761080268,0.11,535.3,0.3399999999999999,5588.0,1.2400000000000002,4.659
